key,title,year,authors,RAYYAN-LABELS,status,population,exposure,control,outcome,Search,study location,system,remarks
rayyan-811287579,Hunting exacerbates the response to human disturbance in large herbivores while migrating through a road network,2017,"Paton, DG and Ciuti, S and Quinn, M and Boyce, MS",data,Included,elk,hunting,-,"habitat selection, movement, vigilance, foraging behaviour",,,,
rayyan-811287581,The importance of indirect cues for white-browed sparrow-weaver (Plocepasser mahali) risk assessment,2009,"Fong, TE and DeLong, TW and Hogan, SB and Blumstein, DT",data,Included,white-browed sparrow weaver,human observer (direct risk),protective cover (indirect risk),foraging behaviour,,,,
rayyan-811287586,AvianBuffer: An interactive tool for characterising and managing wildlife fear responses,2016,"Guay, PJ and van Dongen, WFD and Robinson, RW and Blumstein, DT and Weston, MA",applied  ,Included,251 Australian bird species ,human-associated stimuli,-,flight initiation distance,,,,
rayyan-811287587,Impacts of human hunting on spatial behavior of white-tailed deer (Odocoileus virginianus),2016,"Marantz, SA and Long, JA and Webb, SL and Gee, KL and Little, AR and Demarais, S",data,Included,white-tailed deer,hunting,-,space use,,,,
rayyan-811287589,"Wild boar foraging and risk perception-variation among urban, natural, and agricultural areas",,"Davidson, A and Malkinson, D and Shanas, U",data,Included,wild boars,human risk gradient,-,time before eating,,,,
rayyan-811287596,"Nocturnal ranging behaviour of urban hedgehogs, Erinaceus europaeus, in relation to risk and reward",2010,"Dowding, CV and Harris, S and Poulton, S and Baker, PJ",data,Included,hedgehogs,motor vehicles,badgers (natural predators)  ,"diel activity patterns, space use",,,,
rayyan-811287600,Where to forage when afraid: Does perceived risk impair use of the foodscape?,2019,"Dwinnell, SPH and Sawyer, H and Randall, JE and Beck, JL and Forbey, JS and Fralick, GL and Monteith, KL",data,Included,mule deer,human disturbance,-,forage selection  ,,,,
rayyan-811287602,"Saving large carnivores, but losing the apex predator?",2013,"Ordiz, A and Bischof, R and Swenson, JE",review,Included,,,,,,,,
rayyan-811287603,Predation risk and the functional response of elk-aspen herbivory,2003,"White, CA and Feller, MC and Bayley, S",Data,Included,elk,human disturbance,"predators (coyotes, cougars, dogs, wolves) or non-predator (birds) calls",herbivory rate,,Canadian Rockies,,
rayyan-811287604,The inducible defences of large mammals to human lethality,2020,"Montgomery, RA and Macdonald, DW and Hayward, MW",review,Included,,,,,,,,
rayyan-811287606,Decreased vigilance or habituation to humans? Mechanisms on increased boldness in urban animals,2019,"Uchida, K and Suzuki, KK and Shimamoto, T and Yanagawa, H and Koizumi, I",data,Included,Eurasian red squirrel,human presence,"model predator, novel object","alert distance, flight initiation distance",,,,
rayyan-811287608,Behaviourally mediated biases in transect surveys: a predation risk sensitivity approach,2020,"Dill, LM and Frid, A",review,Included,,,,,,,,
rayyan-811287657,Temporal effects of hunting on foraging behavior of an apex predator: Do bears forego foraging when risk is high?,2016,"Hertel, AG and Zedrosser, A and Mysterud, A and Stoen, OG and Steyaert, SMJG and Swenson, JE",data,Included,Scandinavian brown bear,hunting,-,diel foraging pattern,,,,
rayyan-811287669,Habituation to humans in a predator-free wild ungulate,2015,"Hansen, BB and Aanes, R",data,Included,Svalbard reindeer,approaching human,-,"flight response, escape distance",,,,
rayyan-811287670,Effects of roads on the behaviour of the largest South American artiodactyl (Lama guanicoe) in an Argentine reserve,2017,"Cappa, FM and Giannoni, SM and Borghi, CE",data,Included,guanacos,infrastucture,-,"vigilance, foraging, movement",,,,
rayyan-811287674,Refuge or predation risk? Alternate ways to perceive hiker disturbance based on maternal state of female caribou,2017,"Lesmerises, F and Johnson, CJ and St-Laurent, MH",data,Included,caribou,human activity,-,"vigilance, foraging behaviour",,Gaspesie National Park,,
rayyan-811287684,Human-Cougar interactions in the wildland-urban interface of Colorado's front range,2019,"Alldredge, MW and Buderman, FE and Blecha, KA",data,Included,cougar,urbanization ,-,resource selection,,,,
rayyan-811287685,Effect of human recreation on bird anti-predatory response,2018,"Botsch, Y and Gugelmann, S and Tablado, Z and Jenni, L",data,Included,birds,human activity gradient,-,flight initiation distance,,,,
rayyan-811287687,Behavioral Responses Associated with a Human-Mediated Predator Shelter,2014,"Shannon, G and Cordes, LS and Hardy, AR and Angeloni, LM and Crooks, KR",data,Included,"pronghorn, elk",human activity,-,"foraging behaviour, movement patterns, grouping",,"Grand Teton National Park, USA",,
rayyan-811287688,"Disturbance and predation risk influence vigilance synchrony of black-necked cranes Grus nigricollis, but not as strongly as expected",2021,"Kong, DJ and Moller, AP and Zhang, YY",data,Included,black-necked cranes,human disturbance gradient,-,vigilance,,,,
rayyan-811287690,Spearfishing-induced behavioral changes of an unharvested species inside and outside a marine protected area,2016,"Tran, DSC and Langel, KA and Thomas, MJ and Blumstein, DT",data,Included,lined bristletooth,fishing,protected area,flight initiation distance,,"Mo'orea, French Polynesia",,
rayyan-811287693,Strong reactive movement response of the medium-sized European hare to elevated predation risk in short vegetation,2016,"Weterings, MJA and Zaccaroni, M and van der Koore, N and Zijlstra, LM and Kuipers, HJ and van Langevelde, F and van Wieren, SE",data,Included,European hares,human presence,-,"foraging, movement",,,,
rayyan-811287694,Anthropogenic noise affects risk assessment and attention: the distracted prey hypothesis,2010,"Chan, AAYH and Giraldo-Perez, P and Smith, S and Blumstein, DT",data,Included,Caribbean hermit crabs,boat motor playback,simulated predator,flight response,,,,
rayyan-811287695,Behavioral responses of goitered gazelles to potential threats,2020,"Blank, DA",data,Included,goitered gazelle,poacher,natural predators,response to predators,,,,little emphasis on human predators
rayyan-811287696,Puma (Puma concolor) in the Neighborhood? Records Near Human Settlements and Insights into Human-Carnivore Coexistence in Central Chile,2021,"Ramirez-alvarez, D and Napolitano, C and Salgado, I",data,Included,puma,urbanization,-,"space use, movement patterns",,,,
rayyan-811287699,Seasonality and human disturbance alter brown bear activity patterns: implications for circumpolar carnivore conservation?,2017,"Ordiz, A and Saebo, S and Kindberg, J and Swenson, JE and Stoen, OG",data,Included,brown bears,human disturbance gradient,-,movement patterns  ,,Sweden,,
rayyan-811287700,Developing an evolutionary ecology of fear: how life history and natural history traits affect disturbance tolerance in birds,2006,"Blumstein, DT",data,Included,150 bird species,human presence,-,flight initiation distance,,,,
rayyan-811287701,Effects of human state park visitation rates on escape behavior of white-tailed deer,2017,"Sutton, NM and Heske, EJ",data,Included,white-tailed deer ,human presence,-,"flight initiation distance, buffer distance",,east-central Illinois,,
rayyan-811287705,Hiding in plain sight: risk mitigation by a cryptic carnivore foraging at the urban edge,,"Leighton, GRM and Bishop, JM and Merondun, J and Winterton, DJ and O'Riain, MJ and Serieys, LEK",data,Included,caracals,urban-dominated region,wildlife-dominated region,foraging behaviour,,"Cape Town, South Africa",,
rayyan-811287707,Subtle cues of predation risk: starlings respond to a predator's direction of eye-gaze,2008,"Carter, J and Lyons, NJ and Cole, HL and Goldsmith, AR",data,Included,European starlings,human presence,-,return to feeding time,,,,
rayyan-811287709,Coping in a human-dominated landscape: trade-off between foraging and keeping away from roads by moose (Alces alces),2012,"Eldegard, K and Lyngved, JT and Hjeljord, O",data,Included,moose  ,roads,-,"foraging behaviour, movement  ",,Southern Norway,,
rayyan-811287712,Dynamic table-visiting behavior of birds at outdoor restaurants and cafes,2021,"Haemig, PD and de Luna, SS and Blank, H",data,Included,"house sparrows, Eurasian jackdaws",human presence,-,foraging behaviour,,,,
rayyan-811287713,Hunter or hunted? Perceptions of risk and reward in a small mesopredator,2017,"Welch, RJ and Periquet, S and Petelle, MB and le Roux, A",data,Included,bat-eared fox,human presence,-,"giving up density, diel activity patterns, foraging success, vigilance",,"Kuruman River Reserve, Northern Cape, South Africa",,
rayyan-811287720,Measuring the cost of risk avoidance in brown bears: Further evidence of positive impacts of ecotourism,2005,"Nevin, OT and Gilbert, BK",data,Included,female brown bears,human presence ,male brown bear presence,foraging behaviour,,British Columbia,,
rayyan-811287721,"Factors affecting deer pressure on forest regeneration: The roles of forest roads, visibility and forage availability",2021,"Borowski, Z and Barton, K and Gil, W and Wojcicki, A and Pawlak, B",data,Included,deer,infrastucture,-,"foraging behaviour, browsing",,Poland,,
rayyan-811287725,Island tameness and the repeatability of flight initiation distance in a large herbivore,2017,"Cabrera, D and Andres, D and McLoughlin, PD and Debeffe, L and Medill, SA and Wilson, AJ and Poissant, J",data,Included,feral horses,human presence,-,flight initiation distance,,"Sable Island, Canada",,
rayyan-811287726,First to Flush: The Effects of Ambient Noise on Songbird Flight Initiation Distances and Implications for Human Experiences with Nature,2017,"Petrelli, AR and Levenhagen, MJ and Wardle, R and Barber, JR and Francis, CD",data,Included,12 songbird species,anthropogenic noise,-,"flight initiation distance, foraging behaviour",,California and Wyoming,,
rayyan-811287729,"Drivers of red fox (Vulpes vulpes) daily activity: prey availability, human disturbance or habitat structure?",2016,"Diaz-Ruiz, F and Caro, J and Delibes-Mateos, M and Arroyo, B and Ferreras, P",data,Included,red fox,human disturbance,-,"diel activity patterns, foraging behaviour, ",,Iberian Mediterranean areas,,
rayyan-811287731,The Effect of Human Activities and Their Associated Noise on Ungulate Behavior,2012,"Brown, CL and Hardy, AR and Barber, JR and Fristrup, KM and Crooks, KR and Angeloni, LM",data,Included,"pronghorn, elk",anthropogenic noise,-,"responsiveness to disturbances, vigilance, flight behaviour",,Grand Teton National Park,,
rayyan-811287733,Herring gull aversion to gaze in urban and rural human settlements,2020,"Goumas, M and Collins, TR and Fordham, L and Kelley, LA and Boogert, NJ",data,Included,Herring gull,urban areas,rural areas,flight initiation distance,,,,
rayyan-811287740,Urban cycles of human activity do not significantly alter the behaviour of a duetting bird,2021,"Diniz, P and Silva, EF and Macedo, RH",data,Included,Rufous Hornero ,human activity ,-,"foraging time, vocalization behaviour, vigilance",,central Brazil,,
rayyan-811287743,Drivers of synchronized vigilance in wild boar groups,2016,"Podgorski, T and de Jong, S and Bubnicki, JW and Kuijper, DPJ and Churski, M and Jedrzejewska, B",data,Included,wild boars,hunting pressure,-,vigilance behaviour,,,,
rayyan-811287745,Behavioural Responses of European Roe Deer to Temporal Variation in Predation Risk,2013,"Sonnichsen, L and Bokje, M and Marchal, J and Hofer, H and Jedrzejewska, B and Kramer-Schadt, S and Ortmann, S",data,Included,roe deer,hunting,natural predators,"vigilance, temporal activity patterns, ",,Biaowiea Primeval Forest in Eastern Poland,,
rayyan-811287749,"The non-impact of hunting on moose Alces alces movement, diurnal activity, and activity range",2009,"Neumann, W and Ericsson, G and Dettki, H",data,Included,moose,hunting,-,"movement patterns, diurnal activity, activity range",,,,
rayyan-811287751,Sex-specific foraging of an apex predator puts females at risk of human-wildlife conflict,2021,"Schultz, H and Chang, KV and Bury, SJ and Gaskett, AC and Dennis, TE and Ismar-Rebitz, SMH and Southey, I and Hohnhold, RJ and Millar, CD",data,Included,brown skua,farmland,-,"habitat use, diet",,,,
rayyan-811287754,"Inter-generational change in African elephant range use is associated with poaching risk, primary productivity and adult mortality",2018,"Goldenberg, SZ and Douglas-Hamilton, I and Wittemyer, G",data,Included,elephants,poacher,-,space use,,northern Kenya,,
rayyan-811287763,"Spearfishing modulates flight initiation distance of fishes: the effects of protection, individual size, and bearing a speargun",2018,"Sbragaglia, V and Morroni, L and Bramanti, L and Weitzmann, B and Arlinghaus, R and Azzurro, E",data,Included,fish,fishing,protected areas,flight initiation distance,,,,
rayyan-811287785,Wild Ungulate Decision-Making and the Role of Tiny Refuges in Human-Dominated Landscapes,2016,"Krishna, YC and Kumar, A and Isvaran, K",data,Included,blackbuck,human activity,-,"habitat use, risk aversion",,Indian subcontinent,,
rayyan-811287787,Variation in escape response of Himalayan marmots (Marmota himalayana) under different human disturbances,2022,"Guo, C and Zhou, SL and Krzton, A and Xiang, ZF",data,Included,Himalayan marmots,human disturbance,-,"flight initiation distance, distance fled",,,,
rayyan-811287795,Do pronghorn (Antilocapra americana) perceive roads as a predation risk?,2006,"Gavin, SD and Komers, PE",data,Included,pronghorns,roads (traffic),-,"foragnig behaviour, vigilance",,,,
rayyan-811287799,At what distance do wolves move away from an approaching human?,2007,"Karlsson, J and Eriksson, M and Liberg, I",data,Included,wolves,approaching human,-,flight initiation distance,,,,
rayyan-811287818,Effects of direct human disturbance on the endemic Iberian frog Rana iberica at individual and population levels,2005,"Rodriguez-Prieto, I and Fernandez-Juricic, E",data,Included,Iberian frogs,human disturbance,-,"flight initiation distance, time to return to pre-disturbance activities, abundance",,Iberian peninsula,,
rayyan-811287819,Measuring ungulate tolerance to human with flight distance: a reliable visitor management tool?,2011,"Malo, JE and Acebes, P and Traba, J",data,Included,guanacos,human disturbance,-,"flight initiation distance, sighitng frequency",,,,
rayyan-811287821,"Temporal scale of habitat selection for large carnivores: Balancing energetics, risk and finding prey",2022,"Nisi, AC and Suraci, JP and Ranc, N and Frank, LG and Oriol-Cotterill, A and Ekwanga, S and Williams, TM and Wilmers, CC",data,Included,"African lions, pumas",human development,-,"space use, temporal activity patterns",,"aikipia, Kenya and Santa Cruz Mountains of California",,
rayyan-811287822,"The effects of human presence, flock size and prey density on shorebird foraging rates",2005,"Yasue, M",data,Included,sentipalmated plovers,human presence,-,foraging rate,,"British Columbia, Canada",coastal,
rayyan-811287867,"Influence of human activities, social and environmental variables on the behavior of guanacos in Southern Andean Precordillera (Argentina)",,"Puig, S and Videla, F and Rosi, MI",data,Included,guanacos,human disturbances,-,"flight, vigilance behaviours",,,,
rayyan-811287873,Does metabolic rate predict risk-taking behaviour? A field experiment in a wild passerine bird,2015,"Mathot, KJ and Nicolaus, M and Araya-Ajoy, YG and Dingemanse, NJ and Kempenaers, B",data,Included,great tits,human presence,model sparrowhead (predator),return to feeder (time),,,,
rayyan-811287876,Roe deer face competing risks between predators along a gradient in abundance,2013,"Melis, C and Nilsen, EB and Panzacchi, M and Linnell, JDC and Odden, J",data,Included,roe deer,hunting,natural predators,,,,,focus on mortality with some references to predator foraging
rayyan-811287877,Human-modified landscapes alter home range and movement patterns of capybaras,2021,"Lopes, B; McEvoy, JF; Morato, RG; Luz, HR; Costa, FB; Benatti, HR; Dias, TD and Rocha, VJ and do Nascimento, VR and Piovezan, U and Monticelli, PF and Nievas, AM and Pacheco, RC and Moro, MEG and Brasil, J and Leimgruber, P and Labruna, MB and Ferraz, KMPMD",data,Included,capybaras,human-modified landscapes,-,"space use, diel activity patterns,",,Brazil,,
rayyan-811287881,"Marine mammals and sonar: Dose-response studies, the risk-disturbance hypothesis and the role of exposure context",2018,"Harris, CM and Thomas, L and Falcone, EA and Hildebrand, J and Houser, D and Kvadsheim, PH and Lam, FPA and Miller, PJO and Moretti, DJ and Read, AJ and Slabbekoorn, H and Southall, BL and Tyack, PL and Wartzok, D and Janik, VM",review,Included,,,,,,,,
rayyan-811287885,Human Activity and Habitat Characteristics Influence Shorebird Habitat Use and Behavior at a Vancouver Island Migratory Stopover Site,2016,"Murchison, CR and Zharikov, Y and Nol, E",data,Included,shorebirds,human activity,-,"space use, movement patterns, foraging time",,,,
rayyan-811287903,Movement responses of roe deer to hunting risk,2019,"Picardi, S and Basille, M and Peters, W and Ponciano, JM and Boitani, L and Cagnacci, F",concept,Included,roe deer,hunting,-," movement rate, space use",,,,
rayyan-811287904,The role of habituation in the adjustment to urban life: An experimental approach with burrowing owls,2018,"Cavalli, M and Baladron, AV and Isacch, JP and Biondi, LM and Bo, MS",data,Included,burrowing owls,approaching humans,-,"flight initiation distance, aggressiveness level",,,,
rayyan-811287906,Habituation or sensitization? Long-term responses of yellow-bellied marmots to human disturbance,2021,"Uchida, K and Blumstein, DT",data,Included,yellow-bellied marmots,high human disturbance areas,low human disturbance areas ,"vigilance, flight initiation distance",,,,
rayyan-811287910,Risk-taking behavior of bull-headed shrikes that recently colonized islands,2021,"Hamao, S and Torikai, H and Yoshikawa, M and Yamamoto, Y and Ijichi, T",data,Included,bull-headed shrike,urban environment,natural environment,flight initiation distance,,Japan ,subtropical islands,
rayyan-811287912,Grizzly bear and human interaction in Yellowstone National Park: An evaluation of bear management areas,2013,"Coleman, TH and Schwartz, CC and Gunther, KA and Creel, S",data,Included,grizzly bears,human recreation areas,bear management areas,"movement patterns, space use",,,,
rayyan-811287925,Avian risk assessment: Effects of perching height and detectability,2004,"Blumstein, DT and Fernandez-Juricic, E and LeDee, O and Larsen, E and Rodriguez-Prieto, I and Zugmeyer, C",data,Included,birds,approaching human,-,"flight initiation distance, alert distance",,,,
rayyan-811287926,What chasing birds can teach us about predation risk effects: past insights and future directions,2019,"Blumstein, DT",review,Included,,,,,,,,
rayyan-811287927,Determinants of uncertainty in wildlife responses to human disturbance,2017,"ablado, Z and Jenni, L",concept,Included,,,,,,,,
rayyan-811287928,Effects of experimental human approaches on escape behavior in Thomson's gazelle (Eudorcas thomsonii),2016,"Holmern, T and Setsaas, TH and Melis, C and Tufto, J and Roskaft, E",data,Included,male Thomson's gazelles,approaching human,-,"flight initiation distance, distance fled, escape speed, safety distance",,,,
rayyan-811287929,The effects of flock size and human presence on vigilance and feeding behavior in the Eurasian Coot (Fulica atra L.) during breeding season,2011,"Severcan, C and Yamac, E",data,Included,Eurasian coot,human presence,human absence,"vigilance, feeding  ",,"Yorukkirka Lake (Eskisehir, Turkey)",,
rayyan-811287932,Noise negatively affects foraging and antipredator behaviour in shore crabs,2013,"Wale, MA and Simpson, SD and Radford, AN",data,Included,shore crab,ship noise playback,ambient noise playback,"foraging behaviour, time to retreat to shelter",,,,
rayyan-811287938,An approach to assess the potential impacts of human disturbance on wintering tropical shorebirds,2008,"Yasue, M and Dearden, P and Moore, A",data,Included,shorebirds,human disturbance,natural disturbance rates,"activity patterns, foraging behaviour",," Khao Sam Roi Yod National Park, Thailand",,
rayyan-811287939,Antipredator escape distances of common and threatened birds,2017,"Jiang, YT and Moller, AP",data,Included,48 pairs of closely related bird species,human proximity,-,flight intiation distance,,,,
rayyan-811287942,Road traffic noise modifies behaviour of a keystone species,2014,"Shannon, G and Angeloni, LM and Wittemyer, G and Fristrup, KM and Crooks, KR",data,Included,prairie dog,traffic playback,-,"foraging, vigilance",,North American ,prairie,
rayyan-811287948,Lasting behavioural responses of brown bears to experimental encounters with humans,2013,"Ordiz, A and Stoen, OG and Saebo, S and Sahlen, V and Pedersen, BE and Kindberg, J and Swenson, JE",data,Included,European brown bears,human observer,-,"diel activity patterns, movement patterns",,,,outcome relevant?
rayyan-811287951,For emergency only: terrestrial feeding in Coimbra-Filho's titis reflects seasonal arboreal resource availability,2021,"Souza-Alves, JP and Baccaro, FB and Fontes, IP and Oliveira, MA and Silva, NMO and Barnett, AA",data,Included,Coimbra-Filho's titi monkeys,human observer,-,foraging behaviour,,north-eastern Brazil,,
rayyan-811287952,Human Activity Differentially Redistributes Large Mammals in the Canadian Rockies National Parks,2011,"Rogala, JK and Hebblewhite, M and Whittington, J and White, CA and Coleshill, J and Musiani, M",data,Included,"wolves, elk",human activity,-,habitat use,,"Banff, Kootenay, and Yoho National Parks, Canada",,
rayyan-811287953,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,2018,"Aikins, TK and Gbogbo, F and Owusu, EH",data,Included,29 waterbirds species,human activity,-,"alert distance, flight initiation distance",,"Mole National Park, Ghana",,
rayyan-811287957,Humans disrupt access to prey for large African carnivores,2020,"Mills, KL and Harris, NC",data,Included,3 large carnivores and 11 ungulates ,human presence,-,diel activity patterns,,Western Africa,,
rayyan-811287959,Flight initiation distance changes across landscapes and habitats in a successful urban coloniser,2020,"Hall, MJ and Burns, AL and Martin, JM and Hochuli, DF",data,Included,Australian Brush-turkey,urbanization gradient,-,flight initiation distance,,Syndey,,
rayyan-811287962,PREDICTORS OF FLIGHT BEHAVIOR IN RURAL AND URBAN SONGBIRDS,2016,"Battle, KE and Foltz, SL and Moore, IT",data,Included,"song sparrows, Northern cardinals",urban habitat,rural habitat,"alert distance, flight initiation distance",,southwestern Virginia,,
rayyan-811287964,Human disturbance effects and cumulative habitat loss in endangered migratory caribou,2018,"Plante, S and Dussault, C and Richard, JH and Cote, SD",data,Included,caribou,human disturbances,-,habitat use,,"northern Quebec and Labrador, Canada.",,
rayyan-811287965,Eld's Deer Translocated to Human-Inhabited Areas Become Nocturnal,2011,"Pan, D and Teng, LW and Cui, FJ and Zeng, ZG and Bravery, BD and Zhang, QO and Song, YL",data,Included,Hainan Eld's deer,village,reserve,diel activity patterns,,,,
rayyan-811287969,Spatiotemporal variation in selection of roads influences mortality risk for canids in an unprotected landscape,2015,"Benson, JF and Mahoney, PJ and Patterson, BR",data,Included,"wolves, coyotes and hybrids",human disturbance gradient,-,"resource selection, diel activity patterns",,"Algonquin Park in Ontario, Canada",,
rayyan-811287971,Landscape-scale habitat response of African elephants shows strong selection for foraging opportunities in a human dominated ecosystem,2020,"Bastille-Rousseau, G and Wall, J and Douglas-Hamilton, I and Lesowapir, B and Loloju, B and Mwangi, N and Wittemyer, G",data,Included,African elephants ,human disturbance,-,"activity patterns, habitat use",,,drylands,
rayyan-811287975,The ecological impact of humans and dogs on wildlife in protected areas in eastern North America,2016,"Parsons, AW and Bland, C and Forrester, T and Baker-Whatton, MC and Schuttler, SG and McShea, WJ and Costello, R and Kays, R",data,Included,"white-tailed deer, eastern gray squirrel, northern raccon",hunting with dogs,coyotes (natural predator),"vigilance, space use, activity patterns",,,,
rayyan-811287976,Behavioural responses to human-induced change: Why fishing should not be ignored,2017,"Diaz Pauli, B and Sih, A",review,Included,,,,,,,,
rayyan-811287985,"Effects of risk assessment, predator behavior, and habitat on escape behavior in Columbian black-tailed deer",2007,"Stankowich, T and Coss, RG",data,Included,Columbian black-tailed deer,human observer,-,"escape, distance moved during flight, duration of trotting and stotting behavior, and change in elevation during flight",,,,
rayyan-811287992,"Tradeoffs between predation risk and feeding in a lizard, the broad-headed skink (Eumeces laticeps)",2001,"Cooper, WE",data,Included,broad-headed skink,approaching human observer,-,"foraging, feeding, escape behaviour, latency to attack",,,,
rayyan-811287993,"Stay home, stay safe-Site familiarity reduces predation risk in a large herbivore in two contrasting study sites",2020,"Gehr, B and Bonnot, NC and Heurich, M and Cagnacci, F and Ciuti, S and Hewison, AJM and Gaillard, JM and Ranc, N and Premier, J and Vogt, K and Hofer, E and Ryser, A and Vimercati, E Keller, LF",data,Included,roe deer,hunting,Eurasian Lynx,mortality,,Central Europe,, the role of site familiarity in determining the susceptibility of prey to predation
rayyan-811287994,"Interactions between wildlife, humans and cattle: activity patterns of a remnant population of impala on the degraded Mutara Rangelands, Rwanda",2015,"Wronski, T and Bariyanga, JD and Apio, A and Plath, M",data,Included,impala ,human presence,-,"diel activity patterns, habitat use",,Rwanda,rangeland,
rayyan-811287995,Environmental factors and spatial scale influence shorebirds' responses to human disturbance,2006,"Yasue, M",data,Included,shorebirds,human presence,-,"habitat use, time to return to feeding",,"Pachena Beach, British Columbia",,
rayyan-811288002,"Repeatability of alert and flight initiation distances in king penguins: Effects of colony, approach speed, and weather",2022,"Hammer, TL and Bize, P and Saraux, C and Gineste, B and Robin, JP and Groscolas, R and Viblanc, VA",data,Included,king penguin,approaching human,-,"alert distance, flight initiation distance, decision to flee",,,,
rayyan-811288003,Managing human disturbance: factors influencing flight-initiation distance of birds in a West African nature reserve,2018,"Braimoh, B and Iwajomo, S and Wilson, M and Chaskda, A and Ajang, A and Cresswell, W",data,Included,7 birds species,human presence gradient,-,flight initiation distance,,"Amurum Forest Reserve and its surrounding habitats (Jos, Nigeria)",,
rayyan-811288009,Influence of live-capture on risk perceptions of habituated samango monkeys,2016,"Nowak, K and Richards, SA and le Roux, A and Hill, RA",data,Included,samango monkeys,live capture,before live capture,"giving up density, vigilance rate",,,,
rayyan-811288010,"Road proximity and traffic flow perceived as potential predation risks: evidence from the Tibetan antelope in the Kekexili National Nature Reserve, China",2011,"Lian, XM and Zhang, TZ and Cao, YC and Su, JP and Thirgood, S",data,Included,Tibetan antelopes,high traffic,low traffic,"time, frequency, and duration of foraging and vigilance",,"Kekexili National Nature Reserve, China",,
rayyan-811288022,Perceived risk of predation and habitat use by the Andean White-eared Opossum Didelphis pernigra (Didelphimorphia: Didelphidae) in an ex-urban area,2021,"Cortes-Alfonso, D and Valenzuela, AEJ and Sanchez, F",data,Included,ndean White-eared Opossum,"human, domestic dog presence","foraging behaviour, giving up density",,,Columbian Andes,,
rayyan-811288024,"Predation risk, escape and refuge use by mountain spiny lizards (Sceloporus jarrovii)",2010,"Cooper, WE and Avalos, A",data,Included,mountain spiny lizard,human observer,-,"light initiation distance, distance fled and probability of entering refuge",,,,
rayyan-811288028,"Effects of group size, habitat and hunting risk on vigilance and foraging behaviour in the Lesser Rhea (Rhea pennata pennata)",2012,"Barri, FR and Roldan, N and Navarro, JL and Martella, MB",data,Included,Lesser Rhea,hunting,protected area,"vigilance, foragin behaviour",,"north-western Patagonia, Argentina",,
rayyan-811288035,Effects of Single- and Mixed-Species Group Composition on the Flight Initiation Distances of Plains and Grevy's Zebras,2016,"Brubaker, AS and Coss, RG",data,Included,"Grevy's zebra, plains zebra",approaching human,-,flight initiation distance,,,,
rayyan-811288038,Movement behavior of a solitary large carnivore within a hotspot of human-wildlife conflicts in India,2021,"Naha, D and Dash, SK and Kupferman, C and Beasley, JC and Sathyakumar, S",data,Included,leopards,human activity,-,"resource selection, space use",,"North Bengal, eastern India",,
rayyan-811288039,"Recreational trails, human activity, and nest predation in lowland riparian areas",2000,"Miller, JR and Hobbs, NT",data,Included,nest predators,human activity,-,nest predation,,Front Range of Colorado,lowland riparian,
rayyan-811288040,Diel patterns of movement activity and habitat use by leopards (Panthera pardus pardus) living in a human-dominated landscape in central Kenya,2018,"Van Cleave, EK and Bidner, LR and Ford, AT and Caillaud, D and Wilmers, CC and Isbell, LA",data,Included,leopards,human activity,-,"diel activity patterns, habitat use",,central Kenya,,
rayyan-811288044,Grizzly bear response to spatio-temporal variability in human recreational activity,2019,"Ladle, A and Avgar, T and Wheatley, M and Stenhouse, GB and Nielsen, SE and Boyce, MS",data,Included,grizzly bears,human activity,-,"habitat selection, movement behaviour",,west-central Alberta Rocky Mountains and Foothills,,
rayyan-811288046,Northern bobwhite foraging response to hunting,2018,"McGrath, DJ and Terhune, TM and Martin, JA",data,Included,northern bobwhite,hunting,-,foraging strategy,,,,
rayyan-811288047,Reef fish antipredator behavior in remote islands does not reflect patterns seen in coastal areas,2019,"Nunes, JACC and Blumstein, DT and Giglio, VJ and Barros, F and Quimbayo, JP",data,Included,5 reef fish species,approaching diver,-,flight initiation distance,,Equatorial Atlantic,archipelago,
rayyan-811288053,Sympatric Apes in Sacred Forests: Shared Space and Habitat Use by Humans and Endangered Javan Gibbons (Hylobates moloch),2018,"Reisland, MA and Lambert, JE",data,Included,gibbons,human presence,-,space use,,"Cagar Alam Leuweung Sancang in West Java, Indonesia",,
rayyan-811288058,Temporal variation in habitat selection breaks the catch-22 of spatially contrasting predation risk from multiple predators,2017,"Lone, K and Mysterud, A and Gobakken, T and Odden, J and Linnell, J and Loe, LE",data,Included,roe deer,hunting,lynx (natural predator),habitat selection,,,,
rayyan-811288059,Escaping behavior in goitered gazelle,2018,"Blank, DA",data,Included,goitered gazelle,hunter or vehicle,-,escape response,,Kazakhstan,,
rayyan-811288062,Human-induced reductions in fish predator boldness decrease their predation rates in kelp forests,2019,"Rhoades, OK and Lonhart, SI and Stachowicz, JJ",data,Included,fish,partial take,no-take area,predation rate,,,,
rayyan-811288063,A method to quantify the effects of human disturbance on animal populations,1996,"Gill, JA and Sutherland, WJ and Watkinson, AR",data,Included,pink-footed geese,human disturbance,-,feeding grounds,,,,
rayyan-811288067,"Factors affecting risk and cost of escape by the broad-headed skink (Eumeces laticeps): Predator speed, directness of approach, and female presence",1997,"Cooper, WE",data,Included,skink,approaching human,-,escape behaviour,,,,
