"","Authors","Article.Title","Source.Title","Language","Document.Type","Keywords.Plus","Abstract","Publication.Year","DOI","Date.of.Export"
"89","JONES, RB; SATTERLEE, DG; RYDER, FH","FEAR OF HUMANS IN JAPANESE-QUAIL SELECTED FOR LOW OR HIGH ADRENOCORTICAL-RESPONSE","PHYSIOLOGY & BEHAVIOR","English","Article","OPEN-FIELD BEHAVIOR; BLOOD CORTICOSTERONE RESPONSE; TONIC IMMOBILITY; LAYING HENS; DOMESTIC-FOWL; GALLUS-DOMESTICUS; CHICKS; STRESS; EXPERIMENTER; PLASMA","Behavioral reactions to a nearby human were recorded in male Japanese quail of two lines selected for reduced (LS; low stress) or exaggerated (HS; high stress) plasma corticosterone (B) response to brief mechanical immobilization. Their adrenocortical responses to one of three treatments were then examined. These were: no human disturbance (undisturbed controls, CON), capture and return to the home cage before recapture and bleeding after 5 min (CR), or capture and manual restraint for 5 min before blood sampling (CREST). Quail of the HS line showed more fear-related behavior (crouching, escape) and avoidance of the experimenter than did their LS counterparts. Plasma B concentrations were markedly elevated following each capture treatment (CREST > CR) and the response appeared to be more pronounced in quail of the HS than the LS line. These findings indicate that HS quail perceived human contact to be more aversive than did those of the LS line. Avoidance scores and the adrenocortical responses to capture were positively correlated within individual birds. Therefore, simple behavioral tests of fear may have predictive value concerning physiological responsiveness to stressful stimulation.",1994,"10.1016/0031-9384(94)90210-0","2022-03-23"
"90","Riba, J; Rodriguez-Fornells, A; Urbano, G; Morte, A; Antonijoan, R; Barbanoj, MJ","Differential effects of alprazolam on the baseline and fear-potentiated startle reflex in humans: a dose-response study","PSYCHOPHARMACOLOGY","English","Article","CONDITIONED FEAR; ANTICIPATORY ANXIETY; ABUSE LIABILITY; DIAZEPAM; PARADIGM; ANTAGONISTS; CLONIDINE; AMYGDALA; ALCOHOL; PATHWAY","Rationale: The fear-potentiated startle paradigm has been extensively used in animal studies, and more recently in human experimental psychopharmacology to evaluate the effects of anxiogenic and anxiety-relieving drugs. Previous human studies have shown that both the baseline and the fear-potentiated responses can be inhibited by anxiety-relieving drugs, suggesting drug activity on two different emotional states, the former reflecting a resting condition and the latter more akin to pathological anxiety. Objectives: To examine to which extent the reductions induced by a benzodiazepine on the basic and the fear-potentiated startle responses are of equal intensity, and whether or not the drug shows a predominant, i.e., selective, effect on either. Methods: The effects of three increasing doses of the benzodiazepine alprazolam (0.25, 0.5, and 1.0 mg) were assessed on the human baseline and fear-potentiated startle responses. Twelve healthy volunteers attended the laboratory on four experimental days and received either alprazolam or placebo according to a double-blind crossover balanced design. Startle recordings were undertaken 2 h after drug intake. Fear potentiation was implemented by means of an electric-shock-anticipation experimental procedure. Additionally, subjective self-reports of sedation and anxiety and psychomotor performance were obtained at 2 and 3 h, respectively, after drug administration. Results: Alprazolam dose-dependently impaired psychomotor performance and produced increases in subjective anxiolytic activity and sedation, although the latter did not reach statistical significance. Additionally, the drug reduced the magnitude of the startle response both in the absence and in the presence of a threat-related cue, although a differentially greater inhibitory effect was seen on the fear-potentiated response as the dose increased. Conclusions: Alprazolam showed a greater inhibitory effect on the fear-potentiated startle than on the baseline reflex, suggesting a more selective action of the drug on those structures mediating potentiation of the behavioral response by anxiety.",2001,"10.1007/s002130100816","2022-03-23"
"91","Leuchs, L; Schneider, M; Czisch, M; Spoormaker, VI","Neural correlates of pupil dilation during human fear learning","NEUROIMAGE","English","Article","POSTTRAUMATIC-STRESS-DISORDER; ANTERIOR CINGULATE CORTEX; LOCUS-COERULEUS; POTENTIATED STARTLE; NEURONAL-ACTIVITY; CONDITIONED FEAR; AVERSIVE STIMULI; ADAPTIVE GAIN; LIGHT REFLEX; RESPONSES","Background: Fear conditioning and extinction are prevailing experimental and etiological models for normal and pathological anxiety. Pupil dilations in response to conditioned stimuli are increasingly used as a robust psychophysiological readout of fear learning, but their neural correlates remain unknown. We aimed at identifying the neural correlates of pupil responses to threat and safety cues during a fear learning task. Methods: Thirty-four healthy subjects underwent a fear conditioning and extinction paradigm with simultaneous functional magnetic resonance imaging (fMRI) and pupillometry. After a stringent preprocessing and artifact rejection procedure, trial-wise pupil responses to threat and safety cues were entered as parametric modulations to the fMRI general linear models. Results: Trial-wise magnitude of pupil responses to both conditioned and safety stimuli correlated positively with activity in dorsal anterior cingulate cortex (dACC), thalamus, supramarginal gyrus and insula for the entire fear learning task, and with activity in the dACC during the fear conditioning phase in particular. Phasic pupil responses did not show habituation, but were negatively correlated with tonic baseline pupil diameter, which decreased during the task. Correcting phasic pupil responses for the tonic baseline pupil diameter revealed thalamic activity, which was also observed in an analysis employing a linear (declining) time modulation. Conclusion: Pupil dilations during fear conditioning and extinction provide useful readouts to track fear learning on a trial-by-trial level, particularly with simultaneous fMRI. Whereas phasic pupil responses reflect activity in brain regions involved in fear learning and threat appraisal, most prominently in dACC, tonic changes in pupil diameter may reflect changes in general arousal.",2017,"10.1016/j.neuroimage.2016.11.072","2022-03-23"
"92","Marshall, AJ; Acheson, DT; Risbrough, VB; Straus, LD; Drummond, SPA","Fear Conditioning, Safety Learning, and Sleep in Humans","JOURNAL OF NEUROSCIENCE","English","Article","EYE-MOVEMENT SLEEP; POSTTRAUMATIC-STRESS-DISORDER; REM-SLEEP; EXTINCTION; DISTURBANCES; DEPRIVATION; MEMORY; RECALL; NEUROGENESIS; REACTIVITY","Fear conditioning is considered an animal model of post-traumatic stress disorder. Such models have shown fear conditioning disrupts subsequent rapid eye movement sleep (REM). Here, we provide a translation of these models into humans. Using the fear potentiated startle (FPS) procedure, we examined the effects of fear conditioning and safety signal learning on subsequent REM sleep in healthy adults. We also examined the effects of changes in REM sleep on retention of fear and safety learning. Participants (n = 42 normal controls) spent 3 consecutive nights in the laboratory. The first was an adaptation night. Following the second night, we administered a FPS procedure that included pairing a wrist shock with a threat signal and a safety signal never paired with a shock. The next day, we administered the FPS procedure again, with no wrist shocks to any stimulus, to measure retention of fear and safety. Canonical correlations assessed the relationship between FPS response and REM sleep. Results demonstrated that increased safety signal learning during the initial acquisition phase was associated with increased REM sleep consolidation that night, with 28.4% of the variance in increased REM sleep consolidation from baseline accounted for by safety signal learning. Overnight REM sleep was, in turn, related to overnight retention of fear and safety learning, with 22.5% of the variance in startle retention accounted for by REM sleep. These data suggest that sleep difficulties, specifically REM sleep fragmentation, may play a mechanistic role in post-traumatic stress disorder via an influence on safety signal learning and/or threat-safety discrimination.",2014,"10.1523/JNEUROSCI.0478-14.2014","2022-03-23"
"93","van Well, S; Visser, RM; Scholte, HS; Kindt, M","Neural substrates of individual differences in human fear learning: Evidence from concurrent fMRI, fear-potentiated startle, and US-expectancy data","COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE","English","Article","FUNCTIONAL MAGNETIC-RESONANCE; UNILATERAL TEMPORAL LOBECTOMY; CONDITIONED FEAR; HUMAN AMYGDALA; ANXIETY SENSITIVITY; BOLD FMRI; BRAIN; EEG; RESPONSES; MEMORY","To provide insight into individual differences in fear learning, we examined the emotional and cognitive expressions of discriminative fear conditioning in direct relation to its neural substrates. Contrary to previous behavioral-neural (fMRI) research on fear learning-in which the emotional expression of fear was generally indexed by skin conductance-we used fear-potentiated startle, a more reliable and specific index of fear. While we obtained concurrent fear-potentiated startle, neuroimaging (fMRI), and US-expectancy data, healthy participants underwent a fear-conditioning paradigm in which one of two conditioned stimuli (CS+ but not CS-) was paired with a shock (unconditioned stimulus [US]). Fear learning was evident from the differential expressions of fear (CS+ > CS-) at both the behavioral level (startle potentiation and US expectancy) and the neural level (in amygdala, anterior cingulate cortex, hippocampus, and insula). We examined individual differences in discriminative fear conditioning by classifying participants (as conditionable vs. unconditionable) according to whether they showed successful differential startle potentiation. This revealed that the individual differences in the emotional expression of discriminative fear learning (startle potentiation) were reflected in differential amygdala activation, regardless of the cognitive expression of fear learning (CS-US contingency or hippocampal activation). Our study provides the first evidence for the potential of examining startle potentiation in concurrent fMRI research on fear learning.",2012,"10.3758/s13415-012-0089-7","2022-03-23"
"94","Barros, M; Tomaz, C","Non-human primate models for investigating fear and anxiety","NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","English","Review","MARMOSETS CALLITHRIX-JACCHUS; MACAQUES MACACA-FASCICULARIS; TAMARINS SAGUINUS-LABIATUS; CAPTIVE COMMON MARMOSETS; INFANT RHESUS-MONKEYS; ANIMAL-MODELS; SQUIRREL-MONKEYS; RECEPTOR ANTAGONIST; SOCIAL SEPARATION; NONHUMAN-PRIMATES","Non-human primates exhibit similar physiological and behavioral responses to anxiety-inducing situations as humans and have, in fact, been successfully employed in both conditioned (i.e. conflict paradigms) and ethologically based tests of fear/anxiety (i.e. involuntary isolation, social interaction, human threat, predator confrontation). In the last decade, a renewed and growing interest in non-human primate models has resulted from the use of the small callitrichid species in behavioral pharmacology and neuroscience. This review focuses on the available non-human primate models for investigating fear/anxiety, addressing their advantages, shortcomings, and conceptual framework on which they are based. Lastly, a new ethologically based model to study anxiety and fear-induced avoidance in callitrichids-the marmoset predator confrontation test-is discussed. (C) 2002 Elsevier Science Ltd. All rights reserved.",2002,"10.1016/S0149-7634(01)00064-1","2022-03-23"
"95","Lonsdorf, TB; Merz, CJ","More than just noise: Inter-individual differences in fear acquisition, extinction and return of fear in humans - Biological, experiential, temperamental factors, and methodological pitfalls","NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","English","Review","POSTTRAUMATIC-STRESS-DISORDER; GENERALIZED ANXIETY DISORDER; ACTIVITY-DEPENDENT SECRETION; WHITE-MATTER MICROSTRUCTURE; LEARNING-THEORY PERSPECTIVE; INDIVIDUAL-DIFFERENCES; NEUROTROPHIC FACTOR; CONDITIONED FEAR; TRAIT ANXIETY; POTENTIATED STARTLE","Why do only some individuals develop pathological anxiety following adverse events? Fear acquisition, extinction and return of fear paradigms serve as experimental learning models for the development, treatment and relapse of anxiety. Individual differences in experimental performance were however mostly regarded as 'noise' by researchers interested in basic associative learning principles. Our work for the first time presents a comprehensive literature overview and methodological discussion on inter-individual differences in fear acquisition, extinction and return of fear. We tell a story from noise that steadily develops into a meaningful tune and converges to a model of mechanisms contributing to individual risk/resilience with respect to fear and anxiety related behavior. Furthermore, in light of the present 'replicability crisis' we identify methodological pitfalls and provide suggestions for study design and analyses tailored to individual difference research in fear conditioning. Ultimately, synergistic transdisciplinary and collaborative efforts hold promise to not only improve our mechanistic understanding but can also be expected to contribute to the development of specifically tailored ('individualized') intervention and targeted prevention programs in the future.",2017,"10.1016/j.neubiorev.2017.07.007","2022-03-23"
"96","Mazurek, M; Mcgee, M; Crowe, MA; Prendiville, DJ; Boivin, X; Earley, B","Consistency and stability of behavioural fear responses of heifers to different fear-eliciting situations involving humans","APPLIED ANIMAL BEHAVIOUR SCIENCE","English","Article","HUMAN-ANIMAL INTERACTIONS; DAIRY-COWS; INDIVIDUAL-DIFFERENCES; YOUNG CALVES; BEEF-CATTLE; TESTS; RELIABILITY; PIGS; SOCIALIZATION; FEARFULNESS","This study investigated the consistency and stability of fear responses in housed beef heifers over time using three behavioural tests. The flight (time to join peers and avoidance distance), docility (isolation and handling) and fear (4 phases; responses of isolated heifers in (i), the absence (ii), the presence, of food and responses to a stationary human (iii) without and (iv) with visual contact with their peers) tests were carried out over three consecutive days, in that order, commencing on day 30 and again on day 81 post-housing. Animals were blood sampled twice, in a chute, between the two test sessions. Scores (low scores = more fearful) were assigned to the fear responses. Ten out of 19 variables were consistent over time. Consistency was more evident in the presence of a human, whereas agitation and avoidance of the animals were the most reliable measures. For each session, Principal Component Analysis showed that these behaviours were also consistent within different situations and that the two first components explained more than 55% of the variation of the data. Crossbred heifers showed stability for the consistent behaviours while purebred heifers were more fearful during the second test session. This study showed that fearfulness is a multi dimensional construct and that genetic factors as well as environmental factors affected the behavioural responses. Human-animal relationship can be assessed by measuring agitation while general fearfulness requires tests measuring different dimensions. (C) 2011 Elsevier B.V. All rights reserved.",2011,"10.1016/j.applanim.2011.01.004","2022-03-23"
"97","Swiercz, AP; Seligowski, AV; Park, J; Marvar, PJ","Extinction of Fear Memory Attenuates Conditioned Cardiovascular Fear Reactivity","FRONTIERS IN BEHAVIORAL NEUROSCIENCE","English","Article","POSTTRAUMATIC-STRESS-DISORDER; ACOUSTIC STARTLE STIMULUS; CORONARY-HEART-DISEASE; EXTINGUISHED FEAR; BLOOD-PRESSURE; MICE; RESPONSES; INHIBITION; ACTIVATION; DYNAMICS","Post-traumatic stress disorder (PTSD) is characterized by a heightened emotional and physiological state and an impaired ability to suppress or extinguish traumatic fear memories. Exaggerated physiological responses may contribute to increased cardiovascular disease (CVD) risk in this population, but whether treatment for PTSD can offset CVD risk remains unknown. To further evaluate physiological correlates of fear learning, we used a novel pre-clinical conditioned cardiovascular testing paradigm and examined the effects of Pavlovian fear conditioning and extinction training on mean arterial pressure (MAP) and heart rate (HR) responses. We hypothesized that a fear conditioned cardiovascular response could be detected in a novel context and attenuated by extinction training. In a novel context, fear conditioned mice exhibited marginal increases in MAP (similar to 3 mmHg) and decreases in HR (similar to 20 bpm) during CS presentation. In a home cage context, the CS elicited significant increases in both HR (100 bpm) and MAP (20 mmHg). Following extinction training, the MAP response was suppressed while CS-dependent HR responses were variable. These pre-clinical data suggest that extinction learning attenuates the acute MAP responses to conditioned stimuli over time, and that MAP and HR responses may extinguish at different rates. These results suggest that in mouse models of fear learning, conditioned cardiovascular responses are modified by extinction training. Understanding these processes in pre-clinical disease models and in humans with PTSD may be important for identifying interventions that facilitate fear extinction and attenuate hyper-physiological responses, potentially leading to improvements in the efficacy of exposure therapy and PTSD-CVD comorbidity outcomes.",2018,"10.3389/fnbeh.2018.00276","2022-03-23"
"98","Yoshiike, T; Honma, M; Yamada, N; Kim, Y; Kuriyama, K","Effects of bright light exposure on human fear conditioning, extinction, and associated prefrontal activation","PHYSIOLOGY & BEHAVIOR","English","Article","POSTTRAUMATIC-STRESS-DISORDER; NEAR-INFRARED SPECTROSCOPY; MICE PEROMYSCUS-LEUCOPUS; HUMAN BRAIN; BASOLATERAL AMYGDALA; ANXIETY DISORDERS; THERAPY; MEMORY; RESPONSES; CORTEX","Bright light (BL) not only regulates human emotion and circadian physiology but can also directly modulate emotional memories. Impaired fear extinction and enhanced fear acquisition and consolidation are hallmarks of fear-circuitry disorders; thus, we tested whether BL facilitates fear extinction and inhibits fear acquisition. We randomly exposed 29 healthy humans to high-(9000 lx) or low-intensity light (< 500 lx) for 15 min, near the nadir of the phase response to light, in a single-blind manner. Simultaneously with the light exposure, subjects performed fear extinction training and second fear acquisition, where a visual conditioned stimulus (CS), previously paired with an electric shock unconditioned stimulus (US), was presented without the US, while another CS was newly paired with the US. Conditioned responses (CRs) and changes in prefrontal cortex (PFC) activity were determined during encoding and delayed recall sessions. BL-exposed subjects exhibited lower extinction related PFC activity and marginally higher acquisition-related PFC activity during light exposure than subjects exposed to control light. Twenty-four hours later, BL reduced CRs to both the extinguished and non-extinguished CSs with marginally lower extinction-related PFC activation, suggesting that BL enhanced fear extinction, while suppressing fear acquisition. Further, EL sustained tolerance to fear re-conditioning. Our results demonstrate that a single and brief BL exposure, synchronized with fear extinction and acquisition, instantaneously influences prefrontal hemodynamic responses and alleviates fear expression after 24 h. Although the specificity of BL effects deems further investigation, our findings indicate the clinical relevance of adjunctive BL intervention in exposure-based cognitive-behavioral therapy for fear-circuitry disorders.",2018,"10.1016/j.physbeh.2018.06.015","2022-03-23"
"99","Wang, D; Huang, ZY; Ren, LK; Liu, J; Wang, XY; Yu, T; Hu, MJ; Wang, XM; Du, JL; Ni, DY; Zhang, X; Gao, RS; Qiao, L; Wang, YP","Amygdalar and hippocampal beta rhythm synchrony during human fear memory retrieval","ACTA NEUROCHIRURGICA","English","Article","FUNCTIONAL CONNECTIVITY; EMOTIONAL MEMORY; ANXIETY DISORDER; ENHANCED MEMORY; GAMMA; OSCILLATIONS; EXTINCTION; STIMULUS; CONSOLIDATION; INFORMATION","Background Fear, as one of the basic emotions, is crucial in helping humans to perceive hazards and adapt to social activities. Clinically, fear memory is also involved in a wide spectrum of psychiatric disorders. A better understanding of the neural mechanisms of fear thereby has both neuroscientific and clinical significance. In recent years, data from animal models have demonstrated the key role of the amygdala-hippocampal circuit in the development of fear. However, the neural processing of fear memory remains unclear in humans, which is mainly due to the limitation of indirect measure of neural activity. Methods Herein, we investigated fear memory by direct intracranial recordings from 8 intractable epilepsy patients with depth electrodes in both the hippocampus and ipsilateral amygdala. All the patients were subjected to a well-established Pavlovian fear memory paradigm consisted of the familiarization task, conditioning task, and retrieval task, respectively. Simultaneous local field potentials from the hippocampus and amygdala were recorded during different stages. The oscillatory activities from the amygdala and hippocampus were analyzed during fear memory retrieval compared with neutral stages. Results Consistent with previous rodent studies, our results showed that the amygdala was involved in fear memory retrieval rather than neutral memory retrieval, while the hippocampus was involved both in fear memory retrieval and neutral memory retrieval. In particular, we found that there was an enhanced synchronized activity between the amygdala and hippocampus at beta frequencies (14-30 Hz), which suggested that enhanced synchronized activity at beta frequencies between the amygdala and hippocampus play a pivotal role during retrieval of fear memory in human. Conclusions Thus, our observation that the amygdala-hippocampal system contributing to fear memory retrieval in human with frequency-depended specificity has provided new insights into the mechanism of fear and have potential clinical relevance.",2020,"10.1007/s00701-020-04276-y","2022-03-23"
"100","Agren, T; Bjorkstrand, J; Fredrikson, M","Disruption of human fear reconsolidation using imaginal and in vivo extinction","BEHAVIOURAL BRAIN RESEARCH","English","Article","PROLONGED EXPOSURE; ANXIETY DISORDERS; LEARNED FEAR; MEMORIES; RETURN; AMYGDALA; STIMULI; THERAPY; MECHANISMS; RESPONSES","Memories are not set forever, but can be altered following reactivation, which renders memories malleable, before they are again stabilized through reconsolidation. Fear memories can be attenuated by using extinction during the malleable period. The present study adopts a novel form of extinction, using verbal instructions, in order to examine whether fear memory reconsolidation can be affected by an imaginal exposure. The extinction using verbal instructions, called imaginal extinction, consists of a recorded voice encouraging participants to imagine the scene in which fear was acquired, and to envision the stimuli before their inner eye. The voice signals stimuli appearance, and identical to standard (in vivo) extinction, participants discover that the conditioned stimulus no longer is followed by unconditioned stimulus (UCS). In this way, imaginal extinction translates clinically used imaginal exposure into the standard experimental fear conditioning paradigm. Fear was acquired by pairing pictorial stimuli with an electric shock UCS. Then, both standard and imaginal extinction were given following fear memory reactivation, either after 10 min, within the reconsolidation interval, or after 6 h, outside of the reconsolidation interval. In vivo and imaginal extinction produced comparable reductions in conditioned responses during extinction and importantly, both disrupted reconsolidation of conditioned fear and abolished stimulus discrimination between reinforced and non-reinforced cues. Thus, disrupted reconsolidation of fear conditioning can be achieved without in vivo stimulus presentation, through purely cognitive means, suggesting possible therapeutic applications. (C) 2016 Elsevier B.V. All rights reserved.",2017,"10.1016/j.bbr.2016.11.014","2022-03-23"
"101","Kausche, FM; Zerbes, G; Kampermann, L; Buchel, C; Schwabe, L","Neural signature of delayed fear generalization under stress","PSYCHOPHYSIOLOGY","English","Article","CONDITIONED FEAR; HUMAN AMYGDALA; MEMORY; SLEEP; GLUCOCORTICOIDS; MECHANISMS; HUMANS; CONSOLIDATION; VALIDATION; ACTIVATION","Although the generalization of fear to stimuli resembling a threatening stimulus is an adaptive mechanism, fear overgeneralization is maladaptive and thought to play a key role in anxiety-related disorders. Since there is typically a delay between an initial fear experience and a situation in which fear (over)generalization may occur, we assessed delayed fear generalization and its neural signature. Moreover, as stress is known to affect fear learning, we further tested whether acute stress modulates fear generalization. Therefore, we conducted a two-day fear generalization study, with initial fear acquisition on Day 1 and a fear generalization test after a 24-hr delay in the MRI scanner. Prior to fear generalization testing, participants were exposed to a stressor or a control manipulation. Our behavioral data showed the expected generalization of fear. At a neural level, fear generalization was accompanied by increased fear-signaling for stimuli that resembled the conditioned stimulus in the bilateral insula and frontal operculum, whereas activity declined in frontal, hippocampal, and temporal regions, including the ventromedial prefrontal cortex, as stimuli became more similar to the conditioned stimulus. Importantly, stress did not modulate fear generalization, neither on a behavioral nor on a neural level. Interestingly, in an explorative comparison to two other studies that used the same paradigm but tested generalization immediately after acquisition, we observed increased fear generalization in the delayed relative to the immediate generalization test. In sum, our results suggest that stress leaves fear generalization and its neural signature unaffected but that a temporal delay might increase the extent to which fear responses are generalized to stimuli resembling the threatening stimulus.",2021,"10.1111/psyp.13917","2022-03-23"
"102","Tanner, MK; Hake, HS; Bouchet, CA; Greenwood, BN","Running from fear: Exercise modulation of fear extinction","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Review","CONDITIONED FEAR; FACILITATES EXTINCTION; NEUROTROPHIC FACTOR; DOPAMINE-RECEPTORS; EXPOSURE THERAPY; LATERAL HABENULA; CONTEXTUAL FEAR; MESSENGER-RNA; ACTIVATION; STRESS","Extinction-based exposure therapy is the most common behavioral therapy for anxiety and trauma-related disorders, but fear tends to resurface even after successful extinction. Identification of novel strategies to enhance fear extinction and reduce fear relapse is of paramount importance to mental health. Exercise can enhance cognitive function, but it is not yet well understood whether exercise can be an effective augmentation strategy for fear extinction. In the current review, we present the current state of knowledge on the effects of exercise on fear extinction. Effects of exercise duration, explanations for conflicting results, and potential mechanisms, focusing on a hypothesized role for dopamine, are all discussed. We also provide new data suggesting that the timing in which acute exercise occurs relative to fear extinction, is a crucial variable in determining whether exercise can enhance fear extinction. Clinical implications and ideas to guide future research endeavors in this area are provided.",2018,"10.1016/j.nlm.2018.03.021","2022-03-23"
"103","Namkung, H; Thomas, KL; Hall, J; Sawa, A","Parsing neural circuits of fear learning and extinction across basic and clinical neuroscience: Towards better translation","NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","English","Review","MEDIAL PREFRONTAL CORTEX; COGNITIVE-BEHAVIORAL THERAPY; GENERALIZED ANXIETY DISORDER; D-CYCLOSERINE AUGMENTATION; DORSAL ANTERIOR CINGULATE; LONG-TERM POTENTIATION; CONTEXTUAL FEAR; CONDITIONED FEAR; HUMAN AMYGDALA; FUNCTIONAL MRI","Over the past decades, studies of fear learning and extinction have advanced our understanding of the neurobiology of threat and safety learning. Animal studies can provide mechanistic/causal insights into human brain regions and their functional connectivity involved in fear learning and extinction. Findings in humans, conversely, may further enrich our understanding of neural circuits in animals by providing macroscopic insights at the level of brain-wide networks. Nevertheless, there is still much room for improvement in translation between basic and clinical research on fear learning and extinction. Through the lens of neural circuits, in this article, we aim to review the current knowledge of fear learning and extinction in both animals and humans, and to propose strategies to fill in the current knowledge gap for the purpose of enhancing clinical benefits.",2022,"10.1016/j.neubiorev.2021.12.025","2022-03-23"
"104","JONES, RB","REGULAR HANDLING AND THE DOMESTIC CHICKS FEAR OF HUMAN-BEINGS - GENERALIZATION OF RESPONSE","APPLIED ANIMAL BEHAVIOUR SCIENCE","English","Article","GALLUS-DOMESTICUS; LAYING HENS; ENVIRONMENTAL ENRICHMENT; BEHAVIORAL-RESPONSES; TONIC IMMOBILITY; PRODUCTIVITY","High or persistent fear of humans can seriously harm the welfare and performance of chickens. Therefore, its reduction is an important objective. Modifying the chicken-human relationship, perhaps via some form of regular handling or other human contact, is thought to be one way of achieving this objective. However, it is necessary to determine whether habituation (taming) of chicks to one particular person will generalise. Therefore, in the present study the approach/avoidance responses of handled (H) and nonhandled (NH) female ISA Brown domestic chicks towards a visible experimenter were examined in a series of five experiments in which the chicks' previous experience of humans and/or the experimenter's identity or clothing (colour and style) were systematically varied. Sample sizes in Experiments 1 to 5 were 20, 10, 10, 30 and 25 respectively. As expected, in each experiment, those chicks which had been handled twice daily from 1 day of age showed substantially less avoidance of the experimenter than did their nonhandled counterparts when they were tested at 10 or 11 days of age. Indeed, collective means of the summed mean scores of all the treatment groups used were 36.7 and 45.6 for H and NH, respectively. These results confirmed numerous observations that regular gentle handling is a reliable and potent method of reducing chicks' fear of humans. The present study also yielded a number of novel findings. In Experiment I, the chicks' habituation to one handler readily generalised to include a similarly dressed but otherwise unfamiliar experimenter of the opposite sex. The results of Experiments 2 and 3 extended this finding and showed that handled chicks responded similarly towards the experimenter regardless of systematic variations in the identities of either their handler or of the person who subsequently captured and tested the chick. Changing the colour (Experiment 4) or the style (Experiment 5) of the experimenter's clothing from that worn during treatment to that worn at test also failed to significantly influence the chicks' fear of humans, although a numerical trend towards reduced avoidance of the familiar clothing was apparent in both experiments. Collectively, the present results suggest that chickens which have been habituated to one person via regular handling will also show reduced fear of other people wearing either similar or different types of clothing. The apparent flexibility of the handling phenomenon is discussed in terms of its practical relevance.",1994,"","2022-03-23"
"105","Milad, MR; Quirk, GJ; Pitman, RK; Orr, SP; Fischl, B; Rauch, SL","A role for the human dorsal anterior Cingulate cortex in fear expression","BIOLOGICAL PSYCHIATRY","English","Article","MEDIAL PREFRONTAL CORTEX; FUNCTIONAL MAGNETIC-RESONANCE; SKIN-CONDUCTANCE RESPONSES; HUMAN AMYGDALA ACTIVITY; CONDITIONED FEAR; ELECTRODERMAL ACTIVITY; NEUROCIRCUITRY MODELS; EXTINCTION MEMORY; PROJECTIONS; LESIONS","Background: Rodent studies implicate the prelimbic (PL) region of the medial prefrontal cortex in the expression of conditioned fear. Human studies suggest that the dorsal anterior cingulate cortex (dACC) plays a role similar to PL in mediating or modulating fear responses. This study examined the role of dACC during fear conditioning in healthy humans with magnetic resonance imaging (MRI). Methods: Novel analyses were conducted on data from two cohorts that had previously undergone scanning to study fear extinction. Structural and functional brain data were acquired with MRI; the functional MRI (fMRI) component employed an event-related design. Skin conductance response (SCR) was the index of conditioned responses. Results: We found that: 1) cortical thickness within dACC is positively correlated with SCR during conditioning; 2) dACC is activated by a conditioned fear stimulus; and 3) this activation is positively correlated with differential SCR. Moreover, the dACC region implicated in this research corresponds to the target of anterior cingulotomy, an ablative surgical treatment for patients with mood and anxiety disorders. Conclusions: Convergent structural, functional, and lesion findings from separate groups of subjects suggest that dACC mediates or modulates fear expression in humans. Collectively, these data implicate this territory as a potential target for future anti-anxiety therapies.",2007,"10.1016/j.biopsych.2007.04.032","2022-03-23"
"106","Grillon, C; Davis, M","Fear-potentiated startle conditioning in humans: Explicit and contextual cue conditioning following paired versus unpaired training","PSYCHOPHYSIOLOGY","English","Article","AMYGDALA; STIMULI; REFLEX; ACQUISITION; EXTINCTION; SENSITIZATION; ASSOCIATIONS; HABITUATION; FOOTSHOCK; DISORDER","Conditioned fear in response to explicit and contextual cues was examined using the startle reflex in three groups of participants over two sessions separated by 4-5 days. The conditioned stimulus (CS) was paired with an aversive unconditioned stimulus (US) (shock) during conditioning in the paired but not in the unpaired group. In the reaction time (RT) group, the US was a nonaversive visual signal for an RT task. In the paired group, the CS potentiated startle in the postconditioning phase. This conditioned response was fully retained over the retention interval. There was no substantial change in baseline startle (startle delivered in the absence of CS). By contrast, startle was not potentiated by the CS in the unpaired group, but baseline startle was increased from Session 1 to Session 2. In the RT group, startle was not affected by the CS, and baseline startle was reduced from Session 1 to Session 2. These results suggest that paired presentations of a CS and an aversive US result in conditioned fear in response to the CS but little contextual fear, whereas unpaired presentations of a CS and US leads to poor explicit cue conditioning but substantial contextual fear.",1997,"10.1111/j.1469-8986.1997.tb02389.x","2022-03-23"
